cid,Probability of nongelator,Probability of gelator
3082183,0.3754885252612631,0.6245114747387369
15276861,0.3756593413712741,0.6243406586287259
136025255,0.37627221089300134,0.6237277891069987
26974701,0.37637139856508073,0.6236286014349193
15956150,0.37643625248507384,0.6235637475149262
77280370,0.3773406821270322,0.6226593178729678
135554439,0.3781029221490977,0.6218970778509023
53657227,0.3781520520465882,0.6218479479534118
137699365,0.3782364145064856,0.6217635854935144
3035986,0.3782477821627642,0.6217522178372358
173266,0.3786330526007864,0.6213669473992136
77518952,0.3792739111601704,0.6207260888398296
21122981,0.3798441180901807,0.6201558819098193
163285485,0.3798441180901807,0.6201558819098193
539847,0.37996136172343054,0.6200386382765695
10308414,0.38001803783752164,0.6199819621624784
10402220,0.38023469800656984,0.6197653019934302
125224,0.3803106554663238,0.6196893445336762
16755631,0.38044031854121607,0.6195596814587839
6481845,0.3809731744856931,0.6190268255143069
45052555,0.3811149055750015,0.6188850944249985
71371786,0.3811556814903777,0.6188443185096223
174519,0.3811556814903777,0.6188443185096223
10492375,0.3811754512448141,0.6188245487551859
6333525,0.3815155893648883,0.6184844106351117
92228821,0.38154807550329717,0.6184519244967028
23724732,0.38154807550329717,0.6184519244967028
171255,0.3816306736890904,0.6183693263109096
503020,0.381651658078453,0.618348341921547
10687208,0.38190713577285174,0.6180928642271483
9700,0.38190713577285174,0.6180928642271483
444919,0.38190713577285174,0.6180928642271483
25113134,0.38190713577285174,0.6180928642271483
488242,0.38216078184565816,0.6178392181543418
451844,0.3821964053037604,0.6178035946962396
13989276,0.3821964053037604,0.6178035946962396
135464486,0.3822550645068479,0.6177449354931521
65063,0.3824565391945548,0.6175434608054452
14803227,0.3826887325234456,0.6173112674765544
196324,0.38281529063475106,0.6171847093652489
71351190,0.38320765136121193,0.6167923486387881
45052344,0.3835776658701724,0.6164223341298276
164933,0.38443468878168086,0.6155653112183191
20832934,0.3845776622216507,0.6154223377783493
54136175,0.38513096405745784,0.6148690359425422
92233230,0.38513096405745784,0.6148690359425422
444281,0.3860177894290264,0.6139822105709736
4555041,0.38614484104358715,0.6138551589564128
193604,0.38663210056601915,0.6133678994339808
10424498,0.3867711346416294,0.6132288653583706
150621,0.386939079808307,0.613060920191693
139025117,0.38699346915672306,0.6130065308432769
6560138,0.38699346915672306,0.6130065308432769
64959,0.38699346915672306,0.6130065308432769
92242756,0.38713992977729417,0.6128600702227058
21765593,0.38713992977729417,0.6128600702227058
5289071,0.38717545808349885,0.6128245419165012
125739,0.387218972478759,0.612781027521241
135509071,0.3873795386880573,0.6126204613119427
4369196,0.3874029563314805,0.6125970436685195
25049744,0.38757854387509416,0.6124214561249058
376367,0.3877004419563972,0.6122995580436028
135398701,0.3877337032718191,0.6122662967281809
18658061,0.3879171302946366,0.6120828697053634
146674821,0.38802478555342723,0.6119752144465728
45051593,0.3882085026187232,0.6117914973812768
5272849,0.38823845435659043,0.6117615456434096
89486753,0.38854054147312733,0.6114594585268727
13832344,0.38864639465242246,0.6113536053475775
11065431,0.3889538252068818,0.6110461747931182
65372,0.3891748291745828,0.6108251708254172
488243,0.38954481571978106,0.6104551842802189
495034,0.3897419939757316,0.6102580060242684
135398631,0.38990648508462866,0.6100935149153713
137015000,0.38990648508462866,0.6100935149153713
136238529,0.38990648508462866,0.6100935149153713
163284925,0.38990648508462866,0.6100935149153713
137208277,0.38990648508462866,0.6100935149153713
515111,0.3902408702783745,0.6097591297216255
5319815,0.39048982530417764,0.6095101746958224
45051931,0.3905798197357655,0.6094201802642345
93036,0.39082824667939553,0.6091717533206045
125495767,0.3908291534482565,0.6091708465517435
129391409,0.3908291534482565,0.6091708465517435
135464489,0.3908730034188922,0.6091269965811078
188215,0.39091851468147065,0.6090814853185293
156594227,0.39103090448772515,0.6089690955122748
156594089,0.3911388135509397,0.6088611864490603
13248213,0.3912700008665979,0.6087299991334021
13248214,0.3912700008665979,0.6087299991334021
54089955,0.39128531145007706,0.6087146885499229
71628825,0.3914780349976936,0.6085219650023064
68517003,0.3914904395279356,0.6085095604720644
71402186,0.39151679036159626,0.6084832096384037
46705354,0.3916661973358796,0.6083338026641204
6030,0.39174238810127626,0.6082576118987237
71752893,0.39174238810127626,0.6082576118987237
25074417,0.39174238810127626,0.6082576118987237
90469779,0.39174238810127626,0.6082576118987237
44403842,0.3918697091986595,0.6081302908013405
71302534,0.3918697091986595,0.6081302908013405
156594990,0.3918697091986595,0.6081302908013405
45039260,0.3918697091986595,0.6081302908013405
12803287,0.3920407643519289,0.6079592356480711
14842998,0.3921091453735115,0.6078908546264885
18658060,0.3921155770290571,0.6078844229709429
121487517,0.3923789638276859,0.6076210361723141
101609,0.3924759254084337,0.6075240745915663
145710203,0.39258410422248646,0.6074158957775135
156594224,0.39263026304887594,0.6073697369511241
71410159,0.39290498287419917,0.6070950171258008
76844781,0.39308870391850737,0.6069112960814926
15954436,0.39324670218749025,0.6067532978125098
13042007,0.3934310150368885,0.6065689849631115
191942,0.3935002527817548,0.6064997472182452
129678678,0.393516733074165,0.606483266925835
18596452,0.3936195813329121,0.6063804186670879
77520054,0.39366954188492276,0.6063304581150772
451393,0.39393779305859,0.60606220694141
5496661,0.3939821351510867,0.6060178648489133
121487445,0.3940158843564351,0.6059841156435649
5289468,0.39407735911759934,0.6059226408824007
5273010,0.39407735911759934,0.6059226408824007
